"body_mass_value","migration_strategy","population"
2800,"for_strat_canopy",0
2800,"for_strat_aerial",0
2499.91,"for_strat_watbelowsurf",0
2499.91,"for_strat_wataroundsurf",0
2499.91,"for_strat_ground",30
2499.91,"for_strat_understory",30
2499.91,"for_strat_midhigh",20
2499.91,"for_strat_canopy",20
2499.91,"for_strat_aerial",0
2872,"for_strat_watbelowsurf",0
2872,"for_strat_wataroundsurf",0
2872,"for_strat_ground",80
2872,"for_strat_understory",20
2872,"for_strat_midhigh",0
2872,"for_strat_canopy",0
2872,"for_strat_aerial",0
2500,"for_strat_watbelowsurf",0
2500,"for_strat_wataroundsurf",0
2500,"for_strat_ground",60
2500,"for_strat_understory",20
2500,"for_strat_midhigh",20
2500,"for_strat_canopy",0
2500,"for_strat_aerial",0
2600,"for_strat_watbelowsurf",0
2600,"for_strat_wataroundsurf",0
2600,"for_strat_ground",80
2600,"for_strat_understory",20
2600,"for_strat_midhigh",0
2600,"for_strat_canopy",0
2600,"for_strat_aerial",0
3500,"for_strat_watbelowsurf",0
3500,"for_strat_wataroundsurf",0
3500,"for_strat_ground",60
3500,"for_strat_understory",20
3500,"for_strat_midhigh",20
3500,"for_strat_canopy",0
3500,"for_strat_aerial",0
2333.06,"for_strat_watbelowsurf",0
2333.06,"for_strat_wataroundsurf",0
2333.06,"for_strat_ground",80
2333.06,"for_strat_understory",20
2333.06,"for_strat_midhigh",0
2333.06,"for_strat_canopy",0
2333.06,"for_strat_aerial",0
1463.8,"for_strat_watbelowsurf",0
1463.8,"for_strat_wataroundsurf",0
1463.8,"for_strat_ground",100
1463.8,"for_strat_understory",0
1463.8,"for_strat_midhigh",0
1463.8,"for_strat_canopy",0
1463.8,"for_strat_aerial",0
192,"for_strat_watbelowsurf",0
192,"for_strat_wataroundsurf",0
192,"for_strat_ground",100
192,"for_strat_understory",0
192,"for_strat_midhigh",0
192,"for_strat_canopy",0
192,"for_strat_aerial",0
1785,"for_strat_watbelowsurf",0
1785,"for_strat_wataroundsurf",0
1785,"for_strat_ground",100
1785,"for_strat_understory",0
1785,"for_strat_midhigh",0
1785,"for_strat_canopy",0
1785,"for_strat_aerial",0
1314.47,"for_strat_watbelowsurf",0
1314.47,"for_strat_wataroundsurf",0
1314.47,"for_strat_ground",100
1314.47,"for_strat_understory",0
1314.47,"for_strat_midhigh",0
1314.47,"for_strat_canopy",0
1314.47,"for_strat_aerial",0
1478.81,"for_strat_watbelowsurf",0
1478.81,"for_strat_wataroundsurf",0
1478.81,"for_strat_ground",100
1478.81,"for_strat_understory",0
1478.81,"for_strat_midhigh",0
1478.81,"for_strat_canopy",0
1478.81,"for_strat_aerial",0
1563.26,"for_strat_watbelowsurf",0
1563.26,"for_strat_wataroundsurf",0
1563.26,"for_strat_ground",100
1563.26,"for_strat_understory",0
1563.26,"for_strat_midhigh",0
1563.26,"for_strat_canopy",0
1563.26,"for_strat_aerial",0
836.69,"for_strat_watbelowsurf",0
836.69,"for_strat_wataroundsurf",0
836.69,"for_strat_ground",100
836.69,"for_strat_understory",0
836.69,"for_strat_midhigh",0
836.69,"for_strat_canopy",0
836.69,"for_strat_aerial",0
1044,"for_strat_watbelowsurf",0
1044,"for_strat_wataroundsurf",0
1044,"for_strat_ground",100
1044,"for_strat_understory",0
1044,"for_strat_midhigh",0
1044,"for_strat_canopy",0
1044,"for_strat_aerial",0
768.57,"for_strat_watbelowsurf",0
768.57,"for_strat_wataroundsurf",0
768.57,"for_strat_ground",100
768.57,"for_strat_understory",0
768.57,"for_strat_midhigh",0
768.57,"for_strat_canopy",0
768.57,"for_strat_aerial",0
875.81,"for_strat_watbelowsurf",0
875.81,"for_strat_wataroundsurf",0
875.81,"for_strat_ground",100
875.81,"for_strat_understory",0
875.81,"for_strat_midhigh",0
875.81,"for_strat_canopy",0
875.81,"for_strat_aerial",0
642.48,"for_strat_watbelowsurf",0
642.48,"for_strat_wataroundsurf",0
642.48,"for_strat_ground",100
642.48,"for_strat_understory",0
642.48,"for_strat_midhigh",0
642.48,"for_strat_canopy",0
642.48,"for_strat_aerial",0
666.34,"for_strat_watbelowsurf",0
666.34,"for_strat_wataroundsurf",0
666.34,"for_strat_ground",90
666.34,"for_strat_understory",10
666.34,"for_strat_midhigh",0
