"body_mass_value","diet_type","population"
836.69,"scav",0
836.69,"fruit",0
836.69,"nect",0
836.69,"seed",0
836.69,"plant_o",0
1044,"inv",100
1044,"vend",0
1044,"vect",0
1044,"vfish",0
1044,"vunk",0
1044,"scav",0
1044,"fruit",0
1044,"nect",0
1044,"seed",0
1044,"plant_o",0
768.57,"inv",100
768.57,"vend",0
768.57,"vect",0
768.57,"vfish",0
768.57,"vunk",0
768.57,"scav",0
768.57,"fruit",0
768.57,"nect",0
768.57,"seed",0
768.57,"plant_o",0
875.81,"inv",30
875.81,"vend",0
875.81,"vect",0
875.81,"vfish",0
875.81,"vunk",0
875.81,"scav",0
875.81,"fruit",0
875.81,"nect",0
875.81,"seed",0
875.81,"plant_o",70
642.48,"inv",100
642.48,"vend",0
642.48,"vect",0
642.48,"vfish",0
642.48,"vunk",0
642.48,"scav",0
642.48,"fruit",0
642.48,"nect",0
642.48,"seed",0
642.48,"plant_o",0
666.34,"inv",70
666.34,"vend",0
666.34,"vect",0
666.34,"vfish",0
666.34,"vunk",0
666.34,"scav",0
666.34,"fruit",10
666.34,"nect",0
666.34,"seed",10
666.34,"plant_o",10
676.67,"inv",30
676.67,"vend",0
676.67,"vect",0
676.67,"vfish",0
676.67,"vunk",0
676.67,"scav",0
676.67,"fruit",40
676.67,"nect",0
676.67,"seed",30
676.67,"plant_o",0
768.57,"inv",70
768.57,"vend",0
768.57,"vect",0
768.57,"vfish",0
768.57,"vunk",0
768.57,"scav",0
768.57,"fruit",10
768.57,"nect",0
768.57,"seed",10
768.57,"plant_o",10
308,"inv",70
308,"vend",0
308,"vect",0
308,"vfish",0
308,"vunk",0
308,"scav",0
308,"fruit",10
308,"nect",0
308,"seed",10
308,"plant_o",10
365,"inv",100
365,"vend",0
365,"vect",0
365,"vfish",0
365,"vunk",0
365,"scav",0
365,"fruit",0
365,"nect",0
365,"seed",0
365,"plant_o",0
504.97,"inv",70
504.97,"vend",0
504.97,"vect",0
504.97,"vfish",0
504.97,"vunk",0
504.97,"scav",0
504.97,"fruit",10
504.97,"nect",0
504.97,"seed",10
